Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	rawp	BH
AT3G25760	-6.03543458511436	4.01439417750452	-19.6343885571096	6.20252428028185e-09	4.25387288987108e-06	10.938868242762	0.00147975802782652	0.0428615923095361
AT3G25770	-6.52467199957879	4.58840265299129	-31.7007011292598	7.39685752301794e-11	6.3147527717673e-07	14.3250504927166	0.00016423314905345	0.0344675491483895
AT3G27150	2.11917832745715	1.83766685781295	10.4836477598201	1.73926620448086e-06	0.00010310307804549	5.71574694443686	0.000399955269417829	0.0370044186859767
AT3G27809	-4.46644959494398	-2.88588741467969	-8.67512956474521	8.81827436335536e-06	0.000285656031882873	3.31929948512804	0.000477855590484744	0.0375530243843355
AT3G28007	-2.75133101844781	1.79076024554051	-12.013386403752	5.25851829996905e-07	4.72339721737559e-05	6.83543603970998	0.000677218347867825	0.0379367349731012
AT3G28070	-2.45867630744789	2.40045133914643	-11.8064393221214	6.13227098778699e-07	5.25186753028875e-05	6.74946973613189	0.000543797105987842	0.0379367349731012
AT3G28220	-3.52380059926622	6.37609198718171	-22.6549655834852	1.66277361582447e-09	2.53221700209919e-06	12.5927185092139	0.000375705863816744	0.0370044186859767
AT3G44260	-3.88873931350569	3.35083121923234	-20.8919594164767	3.50674597030665e-09	2.90380483503705e-06	11.5476726030114	0.000270326181983194	0.0344675491483895
AT3G45140	-4.82624908214258	7.82095137418869	-20.2668626029478	4.63624988980383e-09	3.61327498764771e-06	11.5677773715202	0.000356987650469431	0.0370044186859767
AT3G45170	-2.32620290443479	-3.96903559584249	-4.28661738056187	0.00184749630849681	0.0102652457921049	-0.972914778105161	0.0025699779207744	0.0481753000043669
AT3G45860	-3.43387125835089	1.4939936432646	-12.775762359624	3.04419069371561e-07	3.52175584517602e-05	7.21948151427663	0.00159788978712427	0.0440295502386421
AT3G46190	-2.95869757592812	-2.08029942277918	-6.18438588232197	0.000136153988729266	0.00169063186192507	1.36729536012606	0.00242385638011444	0.0477231880657405
AT3G46880	-2.67503289276002	-0.808719473060886	-7.17214864987308	4.23726881949906e-05	0.000805445833422425	2.526151320236	0.00255622901098107	0.0481753000043669
AT3G49110	-3.00601390119445	3.36469696111219	-15.6866984984742	4.80690362132199e-08	1.32286213910518e-05	9.25346369385024	0.000930067321132988	0.0402827935021262
AT3G49620	-4.01272966188825	2.10908377166264	-10.708355014157	1.44570480300024e-06	8.99948415283912e-05	5.87664913074605	0.00154956969671671	0.0435222338252714
AT3G49970	-3.11944813799112	-1.99708507930677	-6.9111157657216	5.70302614428369e-05	0.000956521780904187	2.10684349217545	0.00114185392397692	0.0412091000815381
AT3G50280	-2.19443471986918	1.66741316684411	-8.38538182975262	1.1729813965934e-05	0.000345351789410354	3.84568383194099	0.00216501950293635	0.0469471522551512
AT3G50800	-3.0633735380865	0.921954450522464	-10.6201850898138	1.55384536902657e-06	9.48704944434704e-05	5.68392889092557	0.000285707630719667	0.0344675491483895
AT3G51400	-2.21988291235985	1.36626747173882	-8.25941736112184	1.331112278531e-05	0.00037603212320378	3.73038681105626	0.00227206896440291	0.0471503476693495
